#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_1_length_85347_cov_16.578410_12	4081.Solyc01g007530.2.1	8.45E-111	320	"COG1290@1|root,KOG4663@2759|Eukaryota,37QS7@33090|Viridiplantae,3GHBB@35493|Streptophyta,44T4S@71274|asterids"	35493|Streptophyta	C	Cytochrome b(N-terminal)/b6/petB	petB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035"	-	"ko:K02635,ko:K02704"	"ko00195,ko01100,map00195,map01100"	"M00161,M00162"	-	-	"ko00000,ko00001,ko00002,ko00194"	-	-	-	"Cytochrom_B_C,Cytochrome_B"
NODE_1_length_85347_cov_16.578410_13	4155.Migut.D01433.1.p	1.79E-124	354	"COG1290@1|root,KOG4663@2759|Eukaryota,37NKU@33090|Viridiplantae,3G85T@35493|Streptophyta,44QX6@71274|asterids"	35493|Streptophyta	C	Cytochrome b(C-terminal)/b6/petD	petD	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035"	-	ko:K02637	"ko00195,ko01100,map00195,map01100"	M00162	-	-	"ko00000,ko00001,ko00002,ko00194"	-	-	-	Cytochrom_B_C
NODE_1_length_85347_cov_16.578410_14	4081.Solyc01g007630.2.1	1.65E-91	276	"COG0090@1|root,KOG0438@2759|Eukaryota,37QJY@33090|Viridiplantae,3G9KA@35493|Streptophyta,44KYN@71274|asterids"	35493|Streptophyta	J	"Ribosomal Proteins L2, C-terminal domain"	rpl2	"GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0031967,GO:0031975,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	-	ko:K02886	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	"Ribosomal_L2,Ribosomal_L23,Ribosomal_L2_C"
NODE_1_length_85347_cov_16.578410_15	3702.ATCG00810.1	1.04E-60	192	"COG0091@1|root,KOG1711@2759|Eukaryota,37WS8@33090|Viridiplantae,3GJJC@35493|Streptophyta"	35493|Streptophyta	J	"50S ribosomal protein L22, chloroplastic"	rpl22	"GO:0000313,GO:0000315,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0015934,GO:0031967,GO:0031974,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0098798,GO:1990904"	-	ko:K02890	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_L22
NODE_1_length_85347_cov_16.578410_16	3702.ATCG00800.1	9.92E-135	384	"COG0092@1|root,2QV63@2759|Eukaryota,37ITR@33090|Viridiplantae,3GH7T@35493|Streptophyta,3HXHY@3699|Brassicales"	35493|Streptophyta	J	Belongs to the universal ribosomal protein uS3 family	rps3	"GO:0002181,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0022626,GO:0022627,GO:0031967,GO:0031975,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	-	ko:K02982	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_S3_C
NODE_1_length_85347_cov_16.578410_17	4513.AGP50792	1.14E-70	214	"COG0197@1|root,KOG3422@2759|Eukaryota,37UTS@33090|Viridiplantae,3GIPW@35493|Streptophyta,3M2GF@4447|Liliopsida,3II95@38820|Poales"	35493|Streptophyta	J	"50S ribosomal protein L16, chloroplastic"	rpl16	"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904"	-	ko:K02878	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_L16
NODE_1_length_85347_cov_16.578410_18	4081.Solyc01g007590.2.1	4.07E-76	228	"COG0093@1|root,KOG0901@2759|Eukaryota,37UWF@33090|Viridiplantae,3GIPC@35493|Streptophyta,44T3R@71274|asterids"	35493|Streptophyta	J	Ribosomal protein L14p/L23e	rpl14	"GO:0000313,GO:0000315,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0009507,GO:0009536,GO:0015934,GO:0019843,GO:0031974,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0070180,GO:0097159,GO:0098798,GO:1901363,GO:1990904"	-	ko:K02874	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_L14
NODE_1_length_85347_cov_16.578410_19	4081.Solyc01g007580.2.1	1.84E-75	227	"COG0096@1|root,KOG1754@2759|Eukaryota,37UMN@33090|Viridiplantae,3GIWP@35493|Streptophyta,44TEK@71274|asterids"	35493|Streptophyta	J	Ribosomal protein S8	rps8	"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0015935,GO:0016020,GO:0022626,GO:0022627,GO:0031967,GO:0031975,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904"	-	ko:K02994	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	"Ribosomal_L14,Ribosomal_L16,Ribosomal_S8"
NODE_1_length_85347_cov_16.578410_20	3659.XP_004173875.1	1.79E-74	236	"COG0100@1|root,KOG0408@2759|Eukaryota,388WC@33090|Viridiplantae,3GXN5@35493|Streptophyta,4JT71@91835|fabids"	35493|Streptophyta	K	"Bacterial RNA polymerase, alpha chain C terminal domain"	rpoA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464"	2.7.7.6	"ko:K02518,ko:K02948,ko:K03040"	"ko00230,ko00240,ko01100,ko03010,ko03020,map00230,map00240,map01100,map03010,map03020"	"M00178,M00179,M00183"	"R00435,R00441,R00442,R00443"	RC02795	"br01610,br01611,ko00000,ko00001,ko00002,ko01000,ko03011,ko03012,ko03021,ko03400"	-	-	-	"RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L,Ribosomal_S11"
NODE_1_length_85347_cov_16.578410_21	4113.PGSC0003DMT400036532	1.68E-201	562	"COG0202@1|root,2QRS7@2759|Eukaryota,37QVG@33090|Viridiplantae,3GHDB@35493|Streptophyta,44N87@71274|asterids"	35493|Streptophyta	K	"Bacterial RNA polymerase, alpha chain C terminal domain"	rpoA	"GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009507,GO:0009532,GO:0009534,GO:0009536,GO:0009570,GO:0009579,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0031976,GO:0031984,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576"	2.7.7.6	ko:K03040	"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020"	M00183	"R00435,R00441,R00442,R00443"	RC02795	"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400"	-	-	-	"RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L"
NODE_1_length_85347_cov_16.578410_22	29730.Gorai.009G282800.1	2.77E-41	139	"COG0740@1|root,KOG0840@2759|Eukaryota,37XW7@33090|Viridiplantae,3GM1U@35493|Streptophyta"	35493|Streptophyta	O	Encoded by	-	-	3.4.21.92	ko:K01358	"ko04112,ko04212,map04112,map04212"	-	-	-	"ko00000,ko00001,ko01000,ko01002"	-	-	-	CLP_protease
NODE_1_length_85347_cov_16.578410_23	4081.Solyc01g007470.1.1	2.78E-58	182	"COG0292@1|root,KOG4707@2759|Eukaryota,37VVT@33090|Viridiplantae,3GJCY@35493|Streptophyta"	35493|Streptophyta	J	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit	rpl20	"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0008150,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0009987,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0031967,GO:0031975,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840"	-	ko:K02887	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	-	-	Ribosomal_L20
NODE_1_length_85347_cov_16.578410_26	59689.Al_scaffold_0002_956	0	898	"COG0055@1|root,KOG1350@2759|Eukaryota,37K5M@33090|Viridiplantae,3GCIP@35493|Streptophyta,3I24X@3699|Brassicales"	35493|Streptophyta	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	atpB	"GO:0002376,GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008270,GO:0009266,GO:0009409,GO:0009507,GO:0009526,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009544,GO:0009570,GO:0009579,GO:0009605,GO:0009607,GO:0009620,GO:0009628,GO:0009814,GO:0009817,GO:0010287,GO:0010319,GO:0016020,GO:0030312,GO:0031967,GO:0031975,GO:0031976,GO:0031977,GO:0031984,GO:0032991,GO:0034357,GO:0042651,GO:0043167,GO:0043169,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0045087,GO:0046872,GO:0046914,GO:0050832,GO:0050896,GO:0051704,GO:0051707,GO:0055035,GO:0071944,GO:0098542,GO:0098796,GO:0098807"	3.6.3.14	"ko:K02112,ko:K02114"	"ko00190,ko00195,ko01100,map00190,map00195,map01100"	M00157	-	-	"ko00000,ko00001,ko00002,ko00194,ko01000"	3.A.2.1	-	-	"ATP-synt_DE,ATP-synt_DE_N,ATP-synt_ab,ATP-synt_ab_N"
NODE_1_length_85347_cov_16.578410_27	981085.XP_010089872.1	1.93E-77	232	"COG0355@1|root,KOG1758@2759|Eukaryota,37UFP@33090|Viridiplantae,3GIN2@35493|Streptophyta,4JUWB@91835|fabids"	35493|Streptophyta	C	ATP synthase epsilon chain	atpE	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009507,GO:0009526,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0009941,GO:0009987,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0031967,GO:0031975,GO:0031976,GO:0031984,GO:0034220,GO:0034357,GO:0034641,GO:0034654,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055035,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600"	-	ko:K02114	"ko00190,ko00195,ko01100,map00190,map00195,map01100"	M00157	-	-	"ko00000,ko00001,ko00002,ko00194"	3.A.2.1	-	-	"ATP-synt_DE,ATP-synt_DE_N"
NODE_1_length_85347_cov_16.578410_28	3847.GLYMA13G04690.2	2.13E-71	219	"COG0838@1|root,KOG4662@2759|Eukaryota,37UN0@33090|Viridiplantae,3GISB@35493|Streptophyta,4JUVD@91835|fabids"	35493|Streptophyta	C	"NDH shuttles electrons from NAD(P)H plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient"	ndhC	"GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008137,GO:0008150,GO:0008152,GO:0009507,GO:0009536,GO:0009987,GO:0015979,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0030964,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0050136,GO:0055114,GO:0098796,GO:1902494"	1.6.5.3	ko:K05574	"ko00190,ko01100,map00190,map01100"	M00145	R11945	RC00061	"ko00000,ko00001,ko00002,ko01000"	-	-	-	Oxidored_q4
NODE_1_length_85347_cov_16.578410_29	4572.TRIUR3_00069-P1	2.01E-138	394	"COG0377@1|root,KOG1687@2759|Eukaryota,37QTD@33090|Viridiplantae,3GHED@35493|Streptophyta,3KUHS@4447|Liliopsida,3IDUZ@38820|Poales"	35493|Streptophyta	C	"NAD(P)H-quinone oxidoreductase subunit K, chloroplastic"	ndhK	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464"	1.6.5.3	ko:K05582	"ko00190,ko01100,map00190,map01100"	M00145	R11945	RC00061	"ko00000,ko00001,ko00002,ko01000"	-	-	-	"Oxidored_q4,Oxidored_q6"
